min,max,repetitions,result
-800,-300,660,74.09
-800,-300,710,74.93
-800,-300,760,73.95
-800,-300,810,73.09
-800,-300,860,71.28
-800,-300,910,71.98
-800,-300,960,72.6
-800,-200,10,80.0
-800,-200,60,76.67
-800,-200,110,80.0
-800,-200,160,78.12
-800,-200,210,75.24
-800,-200,260,75.38
-800,-200,310,76.13
-800,-200,360,74.72
-800,-200,410,73.41
-800,-200,460,78.48
-800,-200,510,77.06
-800,-200,560,75.0
-800,-200,610,78.36
-800,-200,660,77.27
-800,-200,710,73.94
-800,-200,760,73.42
-800,-200,810,79.51
-800,-200,860,75.93
-800,-200,910,75.38
-800,-200,960,77.29
-800,-100,10,80.0
-800,-100,60,81.67
-800,-100,110,79.09
-800,-100,160,80.62
-800,-100,210,80.48
-800,-100,260,76.92
-800,-100,310,80.0
-800,-100,360,75.56
-800,-100,410,80.98
-800,-100,460,80.43
-800,-100,510,79.41
-800,-100,560,75.89
-800,-100,610,81.48
-800,-100,660,76.97
-800,-100,710,78.31
-800,-100,760,80.53
-800,-100,810,80.99
-800,-100,860,78.49
-800,-100,910,79.89
-800,-100,960,79.48
-800,0,10,80.0
-800,0,60,83.33
-800,0,110,80.0
-800,0,160,85.62
-800,0,210,83.33
-800,0,260,84.23
-800,0,310,84.19
-800,0,360,85.28
-800,0,410,86.34
-800,0,460,82.61
-800,0,510,86.08
-800,0,560,84.82
-800,0,610,84.92
-800,0,660,83.64
-800,0,710,82.82
-800,0,760,84.87
-800,0,810,85.31
-800,0,860,84.07
-800,0,910,83.85
-800,0,960,80.1
-800,100,10,70.0
-800,100,60,81.67
-800,100,110,82.73
-800,100,160,84.38
-800,100,210,81.9
-800,100,260,82.69
-800,100,310,85.16
-800,100,360,84.44
-800,100,410,84.63
-800,100,460,84.13
-800,100,510,86.86
-800,100,560,85.54
-800,100,610,82.3
-800,100,660,84.55
-800,100,710,85.63
-800,100,760,85.92
-800,100,810,84.32
-800,100,860,85.58
-800,100,910,86.48
-800,100,960,85.94
-800,200,10,90.0
-800,200,60,81.67
-800,200,110,85.45
-800,200,160,88.12
-800,200,210,89.05
-800,200,260,81.15
-800,200,310,89.03
-800,200,360,87.78
-800,200,410,89.51
-800,200,460,87.39
-800,200,510,86.86
-800,200,560,86.61
-800,200,610,85.41
-800,200,660,88.94
-800,200,710,88.03
-800,200,760,86.18
-800,200,810,87.65
-800,200,860,86.16
-800,200,910,86.48
-800,200,960,88.65
-800,300,10,70.0
-800,300,60,90.0
-800,300,110,90.91
-800,300,160,90.62
-800,300,210,89.05
-800,300,260,90.0
-800,300,310,88.71
-800,300,360,89.17
-800,300,410,85.85
-800,300,460,89.78
-800,300,510,89.02
-800,300,560,88.04
-800,300,610,90.33
-800,300,660,88.79
-800,300,710,88.73
-800,300,760,90.0
-800,300,810,88.77
-800,300,860,90.35
-800,300,910,88.79
-800,300,960,89.38
-800,400,10,90.0
-800,400,60,95.0
-800,400,110,90.0
-800,400,160,89.38
-800,400,210,84.29
-800,400,260,89.23
-800,400,310,89.35
-800,400,360,91.11
-800,400,410,88.29
-800,400,460,91.52
-800,400,510,86.67
-800,400,560,90.0
-800,400,610,89.84
-800,400,660,90.91
-800,400,710,90.14
-800,400,760,89.61
-800,400,810,89.26
-800,400,860,92.09
-800,400,910,90.55
-800,400,960,91.04
-800,500,10,70.0
-800,500,60,91.67
-800,500,110,92.73
-800,500,160,91.88
-800,500,210,91.43
-800,500,260,91.54
-800,500,310,88.71
-800,500,360,90.56
-800,500,410,91.95
-800,500,460,90.43
-800,500,510,90.2
-800,500,560,91.43
-800,500,610,91.8
-800,500,660,90.45
-800,500,710,90.85
-800,500,760,91.45
-800,500,810,88.02
-800,500,860,90.12
-800,500,910,90.33
-800,500,960,90.52
-800,600,10,90.0
-800,600,60,86.67
-800,600,110,88.18
-800,600,160,90.62
-800,600,210,93.33
-800,600,260,90.38
-800,600,310,92.58
-800,600,360,90.56
-800,600,410,91.22
-800,600,460,91.96
-800,600,510,92.16
-800,600,560,94.29
-800,600,610,91.97
-800,600,660,91.97
-800,600,710,92.25
-800,600,760,89.47
-800,600,810,92.1
-800,600,860,89.88
-800,600,910,91.32
-800,600,960,92.5
-800,700,10,90.0
-800,700,60,93.33
-800,700,110,88.18
-800,700,160,90.0
-800,700,210,89.05
-800,700,260,88.46
-800,700,310,92.58
-800,700,360,93.89
-800,700,410,90.0
-800,700,460,91.96
-800,700,510,91.96
-800,700,560,91.96
-800,700,610,93.28
-800,700,660,92.27
-800,700,710,91.27
-800,700,760,91.32
-800,700,810,91.48
-800,700,860,90.35
-800,700,910,92.2
-800,700,960,90.94
-800,800,10,100.0
-800,800,60,95.0
-800,800,110,95.45
-800,800,160,94.38
-800,800,210,93.81
-800,800,260,93.08
-800,800,310,92.9
-800,800,360,92.22
-800,800,410,94.15
-800,800,460,92.83
-800,800,510,92.16
-800,800,560,92.32
